Designator,Val,Package,Mix X,Mid Y,Rotation,Layer
C15,4.7uF,C_1206_3216Metric,130.302,-59.436,0,top
C16,1uF,C_0603_1608Metric,130.81,-63.246,-90,top
C17,4.7uF,C_1206_3216Metric,130.302,-79.502,0,top
C18,1uF,C_0603_1608Metric,131.1115,-83.1475,-90,top
C19, 100nF,C_0603_1608Metric,132.842,-63.259,-90,top
C20, 100nF,C_0603_1608Metric,132.8895,-83.1475,-90,top
C21,4.7uF,C_1206_3216Metric,130.302,-54.356,180,top
C22,4.7uF,C_1206_3216Metric,130.302,-74.422,180,top
C23, 100nF,C_0603_1608Metric,147.32,-63.5,-90,top
C24, 100nF,C_0603_1608Metric,147.3675,-83.4015,-90,top
C25,4.7uF,C_1206_3216Metric,150.622,-57.658,90,top
C26,4.7uF,C_1206_3216Metric,150.4155,-77.8135,90,top
C27,1uF,C_0603_1608Metric,149.352,-63.513,-90,top
C28,1uF,C_0603_1608Metric,149.3995,-83.4015,-90,top
D1,Red,LED_0805_2012Metric,119.126,-53.594,0,top
D2,Green,LED_0805_2012Metric,119.126,-56.642,0,top
D3,Blue,LED_0805_2012Metric,123.19,-59.944,0,top
D4,White,LED_0805_2012Metric,123.444,-79.756,0,top
D11,SM712_SOT23,SOT-23,156.972,-67.31,180,top
D12,SM712_SOT23,SOT-23,156.972,-87.122,180,top
J1,Power,PinSocket_1x08_P2.54mm_Vertical,127.94,-97.46,90,top
J2,PWM,PinSocket_1x10_P2.54mm_Vertical,118.796,-49.2,90,top
J3,Analog,PinSocket_1x08_P2.54mm_Vertical,150.8,-97.46,90,top
J4,PWM,PinSocket_1x08_P2.54mm_Vertical,145.72,-49.2,90,top
J5,Analog,PinSocket_1x08_P2.54mm_Vertical,173.66,-97.46,90,top
J6,Communication,PinSocket_1x08_P2.54mm_Vertical,168.58,-49.2,90,top
J7,Digital,PinSocket_2x18_P2.54mm_Vertical,193.98,-92.38,180,top
J8,Screw_Terminal_01x03,TerminalBlock_bornier-3_P5.08mm,167.132,-58.42,-90,top
J9,Screw_Terminal_01x03,TerminalBlock_bornier-3_P5.08mm,167.132,-78.486,-90,top
J10,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,152.654,-62.484,90,top
J11,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,152.141,-71.628,90,top
J12,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,160.782,-70.617,180,top
J13,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,152.903,-82.55,90,top
J14,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,152.146,-91.44,90,top
J15,Conn_02x01,PinHeader_1x02_P2.54mm_Vertical,160.782,-90.429,180,top
J16,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,112.014,-79.502,90,top
L2,10uH,L_0805_2012Metric,130.81,-56.896,0,top
L3,10uH,L_0805_2012Metric,130.81,-76.962,0,top
L4,10uH,L_0805_2012Metric,147.32,-58.166,90,top
L5,10uH,L_0805_2012Metric,147.3675,-78.3215,90,top
R1,3K,R_0805_2012Metric,123.19,-53.594,0,top
R2,3K,R_0805_2012Metric,123.19,-56.642,0,top
R3,3K,R_0805_2012Metric,123.19,-62.484,0,top
R4,3K,R_0805_2012Metric,123.444,-82.296,0,top
R5,0R,R_0805_2012Metric,122.936,-70.612,90,top
R6,DNP/10K,R_0805_2012Metric,123.19,-86.868,-90,top
R7,0R,R_0805_2012Metric,123.19,-90.678,90,top
R17,10K,R_0805_2012Metric,127,-63.5,-90,top
R18,10K,R_0805_2012Metric,127.0475,-83.4015,-90,top
R20,3K3,R_0805_2012Metric,131.8735,-89.7515,180,top
R21,3K3,R_0805_2012Metric,131.826,-69.596,180,top
R22,3K3,R_0805_2012Metric,131.8735,-87.2115,180,top
R23,3K3,R_0805_2012Metric,131.826,-67.31,180,top
R24,DNP/10K,R_0805_2012Metric,122.936,-66.802,-90,top
R26,22R,R_1206_3216Metric,152.654,-66.04,180,top
R27,22R,R_1206_3216Metric,152.654,-68.58,180,top
R28,100R,R_1206_3216Metric,160.528,-57.658,90,top
R29,22R,R_1206_3216Metric,152.654,-85.852,180,top
R30,22R,R_1206_3216Metric,152.654,-88.392,180,top
R31,100R,R_1206_3216Metric,160.528,-77.724,90,top
R32,300R,R_1206_3216Metric,153.67,-57.658,90,top
R33,300R,R_1206_3216Metric,153.4635,-77.8135,90,top
R34,2K2,R_0805_2012Metric,149.098,-67.056,90,top
R35,2K2,R_0805_2012Metric,149.098,-70.866,90,top
R36,120R,R_1206_3216Metric,160.528,-63.5,-90,top
R37,2K2,R_0805_2012Metric,149.098,-86.868,90,top
R38,2K2,R_0805_2012Metric,149.098,-90.678,90,top
R39,120R,R_1206_3216Metric,160.528,-83.312,-90,top
R40,300R,R_1206_3216Metric,156.718,-57.658,90,top
R41,300R,R_1206_3216Metric,156.5115,-77.8135,90,top
U6,74LVC1G04,SOT-23-5,127.5555,-88.4815,-90,top
U7,74LVC1G04,SOT-23-5,127.762,-68.58,-90,top
U8,CRE1S0505SC,Converter_DCDC_muRata_CRE1xxxxxxSC_THT,135.9375,-59.2715,90,top
U9,ISO308xDWR,SOIC-16W_7.5x10.3mm_P1.27mm,139.954,-67.31,-90,top
U10,CRE1S0505SC,Converter_DCDC_muRata_CRE1xxxxxxSC_THT,135.9375,-79.3375,90,top
U11,ISO308xDWR,SOIC-16W_7.5x10.3mm_P1.27mm,140.0015,-87.2115,-90,top
